cm_name,category_tree_text
Government Projects,Industry^Others^Government Projects
Greater Noida,Industry^Real Estate^Location^Greater Noida
Grocery,Industry^Shopping^Grocery
Groom,Industry^Family and Relationships^Matrimony^Groom
Gurgaon,Industry^Real Estate^Location^Gurgaon
Gym,Industry^Health & Pharmaceutical^Gym
Health Supplements,Industry^Health & Pharmaceutical^Health Supplements
Heavy Vehicle Loan,Industry^Banking & Finance^Loans^Heavy Vehicle Loan
Hotstar,Industry^Entertainment^OTT Apps^Hotstar
Household Products,Industry^FMCG^Household Products
Hyderabad,Industry^Real Estate^Location^Hyderabad
IOS,Industry^Gadgets & Technology^Smartphones^IOS
IOT Devices,Industry^Gadgets & Technology^IOT Devices
Industrial B2B,Industry^Others^Industrial B2B
International,Industry^Travel^Tourism^International
International,Industry^Travel^Vacation^International
Jaipur,Industry^Real Estate^Location^Jaipur
Jewellery,Industry^Shopping^Jewellery
Jio Saavn,Industry^Entertainment^Music Streaming Services^Jio Saavn
Kabbdi,Industry^Sports & Games^Outdoor Games^Kabbdi
Kanpur,Industry^Real Estate^Location^Kanpur
Kindle E-Reader & eBooks,Industry^Shopping^Books & Audible^Kindle E-Reader & eBooks
Kitchen Appliances,Industry^Shopping^Electronics^Kitchen Appliances
Kolkata,Industry^Real Estate^Location^Kolkata
Large Vehicles,Industry^Automobiles^Four Wheeler^Large Vehicles
Less than 10k,Industry^Gadgets & Technology^Smartphones^Less than 10k
Less than 20k,Industry^Gadgets & Technology^Smartphones^Less than 20k
Less than 30k,Industry^Gadgets & Technology^Smartphones^Less than 30k
Lifestyle,Industry^FMCG^Lifestyle
Loans,Industry^Banking & Finance^Loans
Location,Industry^Real Estate^Location
Lucknow,Industry^Real Estate^Location^Lucknow
Luggage,Industry^Shopping^Luggage
MX Player,Industry^Entertainment^OTT Apps^MX Player
Malls,Industry^Real Estate^Property Type^Malls
Matrimony,Industry^Family and Relationships^Matrimony
Medicines & Office Supplies,Industry^FMCG^Medicines & Office Supplies
Mobile & Computers,Industry^Shopping^Mobile & Computers
More than 30K,Industry^Gadgets & Technology^Smartphones^More than 30K
Mumbai,Industry^Real Estate^Location^Mumbai
Music Streaming Services,Industry^Entertainment^Music Streaming Services
NRI Acoount,Industry^Banking & Finance^Banking^NRI Acoount
National Election,Industry^News & Politics^National Election
Navi Mumbai,Industry^Real Estate^Location^Navi Mumbai
Netflix,Industry^Entertainment^OTT Apps^Netflix
News,Industry^News & Politics^News
Noida,Industry^Real Estate^Location^Noida
OTT Apps,Industry^Entertainment^OTT Apps
Offer & Deals,Industry^Food & Dining^Food delivery^Offer & Deals
Offline Entertainment,Industry^Entertainment^Offline Entertainment
Offline TV Show & Serial,Industry^Entertainment^Offline Entertainment^Offline TV Show & Serial
Online Admission,Industry^Education^Online Admission
Online Banking,Industry^Banking & Finance^Banking^Online Banking
Online Services,Industry^Online Services
Oral Care,Industry^FMCG^Oral Care
Others,Industry^Others
Outdoor Activities,Industry^Entertainment^Offline Entertainment^Outdoor Activities
Outdoor Games,Industry^Sports & Games^Outdoor Games
Penthouse,Industry^Real Estate^Property Type^Penthouse
Premium Bikes,Industry^Automobiles^Two Wheeler^Premium Bikes
Premium Cars,Industry^Automobiles^Four Wheeler^Premium Cars
Property Type,Industry^Real Estate^Property Type
Quiz,Industry^Education^Quiz
Religion,Industry^Religion & Spirituality^Religion
Restaurant table booking,Industry^Food & Dining^Restaurant table booking
Shops,Industry^Real Estate^Property Type^Shops
Showrooms,Industry^Real Estate^Property Type^Showrooms
Simulation,Industry^Sports & Games^Online Games^Simulation
Spirituality,Industry^Religion & Spirituality^Spirituality
Sport,Industry^Sports & Games^Online Games^Sport
Sports & Fitness,Industry^Shopping^Sports & Fitness
Spotify,Industry^Entertainment^Music Streaming Services^Spotify
State Election,Industry^News & Politics^State Election
Strategy,Industry^Sports & Games^Online Games^Strategy
TMC Followers,Industry^News & Politics^Politics^TMC Followers
Tennis,Industry^Sports & Games^Outdoor Games^Tennis
Term Insurance,Industry^Banking & Finance^Insurance^Term Insurance
Thane,Industry^Real Estate^Location^Thane
Tourism,Industry^Travel^Tourism
Training,Industry^Education^Training
Two Wheeler Loan,Industry^Banking & Finance^Loans^Two Wheeler Loan
Utility,Industry^Utility
Vacation,Industry^Travel^Vacation
Villas,Industry^Real Estate^Property Type^Villas
Voot,Industry^Entertainment^OTT Apps^Voot
Watches,Industry^Shopping^Watches
Weight Gain,Industry^Health & Pharmaceutical^Weight Gain
Wrestling,Industry^Sports & Games^Outdoor Games^Wrestling
Youtube Music,Industry^Entertainment^Music Streaming Services^Youtube Music
Zee5,Industry^Entertainment^OTT Apps^Zee5
Entertainment Appliances,Industry^Shopping^Electronics^Entertainment Appliances
Offer & Deals,Industry^Food & Dining^Restaurant table booking^Offer & Deals
Others,Industry^Sports & Games^Online Games^Others
Domestic,Industry^Travel^Air Travel^Domestic
Others,Industry^Sports & Games^Outdoor Games^Others
Solar Energy,Industry^Others^Solar Energy
Computer Accessories,Industry^Gadgets & Technology^Computer Accessories
Mobile Accessories,Industry^Gadgets & Technology^Mobile Accessories
